en_name,zh_name
relieves chest and abdominal distention.,缓解胸腹胀满  
descends lung qi,降肺气  
relieves cough and chest pain.,缓解咳嗽和胸痛  
relieves chest fullness and pain.,缓解胸闷和疼痛  
regulates chest and back qi,调节胸背气机  
relieves cough and asthma.,缓解咳嗽和哮喘  
regulates qi and blood throughout the body,调节全身气血  
relieves muscle tension.,缓解肌肉紧张  
unblocks the heart channel,疏通心经  
benefits the arm,益手臂  
relieves chest pain.,缓解胸痛  
clears heat from the heart channel,清心经热  
calms the spirit,镇静心神  
relieves pain.,缓解疼痛  
calms the mind,镇静心神  
relieves mental agitation and palpitations.,缓解精神激动和心悸  
regulates heart qi,调节心气  
regulates heart rhythm,调节心律  
calms the mind and spirit.,镇静心神  
nourishes heart yin,滋养心阴  
stops night sweating,止夜间盗汗  
relieves anxiety and insomnia.,缓解焦虑和失眠  
expels wind,祛风  
transforms dampness.,化湿  
clears heat from the small intestine channel,清小肠经热  
benefits the eyes.,益眼  
unblocks the Du channel,疏通督脉  
relieves neck stiffness,缓解颈部僵硬  
benefits the back and shoulders.,益背肩  
benefits the wrist joint,益腕关节  
benefits the head and senses,益头部和感官  
relieves headaches.,缓解头痛  
benefits the eyes,益眼  
relieves pain in the elbow and shoulder.,缓解肘部和肩部疼痛  
relieves pain and swelling in the arm.,缓解手臂疼痛和肿胀  
dispels wind-damp,祛风湿  
relieves pain in the elbow.,缓解肘部疼痛  
benefits the shoulder and arm,益肩臂  
relieves pain and stiffness.,缓解疼痛和僵硬  
relieves shoulder pain,缓解肩痛  
benefits shoulder mobility.,益肩部活动  
regulates shoulder qi,调节肩部气机  
alleviates shoulder and back stiffness.,缓解肩背僵硬  
relieves shoulder pain.,缓解肩痛  
benefits shoulder and scapula,益肩胛  
relieves tension.,缓解紧张  
regulates shoulder and arm qi,调节肩臂气机  
benefits throat and ears.,益咽喉和耳部  
benefits face,益面部  
reduces swelling.,消肿  
relieves cheek and jaw pain,缓解颊部和颌部疼痛  
benefits teeth.,益牙  
alleviates ear disorders,缓解耳部疾病  
benefits hearing.,益听力  
clears liver channel heat,清肝经热  
brightens eyes.,明目  
relieves frontal headache.,缓解额部头痛  
relieves eye pain.,缓解眼痛  
relieves temporal headache.,缓解颞部头痛  
clears wind-heat,清风热  
relieves facial pain.,缓解面部疼痛  
benefits vision,益视力  
relieves gaze disorders.,缓解视物障碍  
regulates the bladder channel,调节膀胱经  
expels wind.,祛风  
benefits neck,益颈部  
relieves headache and stiffness.,缓解头痛和僵硬  
relieves occipital pain.,缓解枕部疼痛  
strengthens the spine,强健脊柱  
relieves upper back pain.,缓解上背痛  
dispels wind-cold,祛风寒  
relieves neck and back stiffness.,缓解颈背僵硬  
regulates heart qi.,调节心气  
spreads liver qi,疏肝气  
relieves chest and rib pain.,缓解胸胁痛  
relieves hypochondriac pain.,缓解胁痛  
regulates spleen,调节脾脏  
alleviates digestive disorders.,缓解消化系统疾病  
regulates stomach,调节胃  
relieves abdominal discomfort.,缓解腹部不适  
regulates San Jiao,调节三焦  
relieves abdominal bloating.,缓解腹胀  
tonifies kidney,补肾  
strengthens lumbar region.,强健腰部  
regulates large intestine,调节大肠  
alleviates constipation and lower back pain.,缓解便秘和腰痛  
tonifies original qi,补元气  
benefits lumbar region.,益腰部  
regulates small intestine,调节小肠  
relieves abdominal pain.,缓解腹痛  
clears bladder channel,清膀胱经  
benefits urination,益排尿  
alleviates urinary disorders.,缓解泌尿系统疾病  
strengthens lumbar spine,强健腰椎  
relieves lower back stiffness.,缓解腰部僵硬  
restores yang,回阳  
stops diarrhea,止泻  
relieves sacral pain.,缓解骶骨痛  
benefits sacroiliac joint,益骶髂关节  
relieves lumbosacral pain.,缓解腰骶痛  
unblocks bowels,疏通肠道  
regulates lower jiao,调节下焦  
relieves pain in the sacral region.,缓解骶部疼痛  
harmonizes bladder channel,调和膀胱经  
relieves lower back pain.,缓解腰痛  
strengthens lumbar region,强健腰部  
relieves hip and sacral pain.,缓解髋部和骶骨痛  
relieves sciatica.,缓解坐骨神经痛  
dispels cold and damp,祛寒湿  
relieves buttock and thigh pain.,缓解臀部和大腿疼痛  
regulates bladder channel,调节膀胱经  
relieves pain along the posterior leg.,缓解后腿疼痛  
relieves sciatica and leg pain.,缓解坐骨神经痛和腿痛  
benefits knee and leg,益膝腿  
relieves chest and epigastric oppression.,缓解胸部和上腹压迫感  
clears heat from the chest,清胸部热  
regulates lung and chest,调节肺和胸部  
relieves breathing difficulties.,缓解呼吸困难  
relieves headaches and dizziness.,缓解头痛和眩晕  
harmonizes diaphragm,调和膈肌  
relieves hiccups and chest distention.,缓解打嗝和胸胀  
relieves palpitations.,缓解心悸  
dispels dampness,祛湿  
benefits sinews.,益筋  
strengthens spleen,强健脾脏  
relieves vomiting and indigestion.,缓解呕吐和消化不良  
relieves abdominal pain and hernia.,缓解腹痛和疝气  
benefits lumbar region,益腰部  
relieves low back weakness.,缓解腰部无力  
benefits bladder and intestines,益膀胱和肠道  
tonifies Kidney yin,补肾阴  
strengthens lower back,强健腰部  
relieves lumbago.,缓解腰痛  
regulates spleen and stomach,调节脾胃  
alleviates abdominal pain and diarrhea.,缓解腹痛和腹泻  
relieves leg pain and weakness.,缓解腿痛和无力  
relieves calf muscle cramps and hemorrhoidal swelling.,缓解小腿肌肉痉挛和痔疮肿胀  
relieves leg and foot pain.,缓解腿部和足部疼痛  
relaxes the sinews,放松筋脉  
alleviates headache and neck stiffness.,缓解头痛和颈部僵硬  
regulates Qi in the foot,调节足部气机  
relieves foot and ankle pain.,缓解足踝疼痛  
pacifies wind,平风  
relieves insomnia.,缓解失眠  
benefits the chest and lateral costal region.,益胸部和侧肋区  
alleviates sciatica and back pain.,缓解坐骨神经痛和背痛  
dispels cold-damp,祛寒湿  
relieves knee and ankle stiffness.,缓解膝踝僵硬  
clears heat and dampness,清热化湿  
relieves foot swelling and pain.,缓解足部肿痛  
benefits the throat and tongue.,益咽喉和舌  
rescues collapse,救逆  
restores consciousness,恢复意识  
tonifies Kidney Qi.,补肾气  
benefits Kidney,益肾  
alleviates edema.,缓解水肿  
nourishes the lower jiao,滋养下焦  
relieves night sweating.,缓解夜间盗汗  
strengthens yang,强阳  
alleviates lower back coldness.,缓解腰部寒冷  
benefits bladder,益膀胱  
relieves edema.,缓解水肿  
nourishes Kidney,滋养肾  
regulates Kidney,调节肾  
relieves dizziness.,缓解眩晕  
harmonizes Chong channel,调和冲脉  
regulates menstruation,调节月经  
supports Lung and Kidney communication,支持肺肾交通  
relieves throat pain.,缓解咽喉痛  
tonifies Kidney Qi,补肾气  
relieves hernia and lower abdominal pain.,缓解疝气和下腹痛  
regulates Kidney and Lung Qi,调节肾肺气  
benefits respiratory function.,益呼吸功能  
supports lumbar health,支持腰部健康  
alleviates back pain.,缓解背痛  
harmonizes Qi,调和气机  
benefits Lower Jiao,益下焦  
relieves fatigue.,缓解疲劳  
tonifies Qi,补气  
nourishes Kidney and Liver Yin,滋养肾肝阴  
relieves menstrual and abdominal pain.,缓解月经痛和腹痛  
benefits digestive function.,益消化功能  
regulates Kidney channel,调节肾经  
alleviates abdominal fullness.,缓解腹部胀满  
relieves difficulty swallowing.,缓解吞咽困难  
harmonizes the middle jiao,调和中焦  
alleviates indigestion and vomiting.,缓解消化不良和呕吐  
benefits diaphragm and breast,益膈肌和乳房  
relieves hiccups.,缓解打嗝  
relieves breathing difficulty.,缓解呼吸困难  
clears chest congestion,清胸闷  
benefits heart.,益心脏  
relieves abdominal pain and menstrual disorders.,缓解腹痛和月经疾病  
relieves cough,缓解咳嗽  
benefits throat and chest.,益咽喉和胸部  
benefits lungs and breasts.,益肺和乳房  
clears heat from Pericardium channel,清心包经热  
harmonizes Stomach.,调和胃  
moderates acute conditions,缓解急性病症  
regulates blood,调节血  
calms spirit.,镇静心神  
calms mind,镇静心神  
relieves chest oppression.,缓解胸部压迫感  
regulates Heart,调节心  
relieves nausea.,缓解恶心  
harmonizes Heart,调和心  
clears heat from Pericardium,清心包热  
relieves mouth ulcers.,缓解口腔溃疡  
benefits tongue.,益舌  
benefits the ears,益耳  
benefits the head and ears,益头部和耳部  
activates the channel,活络  
benefits the head,益头部  
opens the channel,开通经络  
relieves pain,缓解疼痛  
benefits the ear and throat,益耳和咽喉  
regulates the Triple Energizer,调节三焦  
benefits the arm and shoulder,益手臂和肩部  
benefits the neck and head,益颈部和头部  
disperses wind,祛风  
benefits the ear,益耳  
dissipates swelling,消肿  
eliminates wind,祛风  
benefits the head and eyes,益头部和眼部  
treats tinnitus,治疗耳鸣  
clears the head,清头部  
benefits ears,益耳  
jaw pain,颌部疼痛  
benefits ear and jaw,益耳和颌部  
regulates temporal region,调节颞部  
relieves headache.,缓解头痛  
calms spirit,镇静心神  
benefits memory,益记忆  
alleviates temporal headaches,缓解颞部头痛  
calms mind.,镇静心神  
relieves headache and temporomandibular joint pain.,缓解头痛和颞下颌关节疼痛  
relieves migraine,缓解偏头痛  
stops vomiting.,止呕  
benefits head and eyes,益头部和眼部  
relieves jaw pain,缓解颌部疼痛  
benefits head and neck,益头部和颈部  
relieves migraine and neck stiffness.,缓解偏头痛和颈部僵硬  
relieves anxiety,缓解焦虑  
alleviates frontal headache,缓解额部头痛  
benefits eye function.,益眼功能  
relieves frontal headache,缓解额部头痛  
relieves eye fatigue and headache.,缓解眼疲劳和头痛  
regulates gallbladder and stomach,调节胆胃  
relieves headache,缓解头痛  
alleviates vertigo.,缓解眩晕  
benefits the brain,益脑  
relieves dizziness and headache.,缓解眩晕和头痛  
benefits vision.,益视力  
relieves neck and shoulder tension,缓解颈肩紧张  
promotes qi flow.,促进气机流动  
alleviates chest and rib pain,缓解胸胁痛  
regulates qi.,调气  
relieves chest fullness and lateral costal pain.,缓解胸闷和侧肋痛  
regulates Liver and Gallbladder,调节肝胆  
benefits the breast,益乳房  
alleviates hypochondriac pain.,缓解胁痛  
alleviates lumbar pain and edema.,缓解腰痛和水肿  
regulates Dai channel,调节带脉  
binds waist,束腰  
alleviates leucorrhea.,缓解白带  
benefits hypochondriac region,益胁部  
alleviates menstrual disorders.,缓解月经疾病  
treats leucorrhea,治疗白带  
relieves sciatica and strengthens lumbar region.,缓解坐骨神经痛，强健腰部  
benefits hip,益髋部  
relieves sciatica,缓解坐骨神经痛  
strengthens lower back.,强健腰部  
relieves leg paralysis and itching.,缓解腿部瘫痪和瘙痒  
regulates Spleen and Gallbladder,调节脾胆  
relieves lateral thigh tension and pain.,缓解侧大腿紧张和疼痛  
benefits knee joint,益膝关节  
relieves knee pain and swelling.,缓解膝部疼痛和肿胀  
benefits sinews and joints,益筋骨  
alleviates lower limb pain,缓解下肢疼痛  
harmonizes Liver and Gallbladder.,调和肝胆  
benefits sinews,益筋  
relieves muscle cramps and pain.,缓解肌肉痉挛和疼痛  
relieves swelling and pain.,缓解肿痛  
improves vision,改善视力  
clears Gallbladder channel heat,清胆经热  
relieves headache and hypochondriac pain.,缓解头痛和胁痛  
nourishes marrow,滋养骨髓  
benefits neck and shoulders,益颈肩  
regulates Gallbladder channel,调节胆经  
relieves ankle pain,缓解踝痛  
harmonizes Shaoyang.,调和少阳  
opens Belt channel,开通带脉  
benefits chest and lateral costal region,益胸部和侧肋区  
benefits foot sinews,益足筋  
relieves pain along Gallbladder channel.,缓解胆经疼痛  
regulates Liver qi and qi in the lower jiao,调节肝气和下焦气机  
benefits the genitals,益生殖器  
clears Liver fire,清肝火  
calms Liver wind,平肝风  
clears head and eyes,清头部和眼部  
subdues Liver yang,降肝阳  
extinguishes wind,熄风  
nourishes Liver blood and yin,滋养肝血和肝阴  
regulates menstruation and lower jiao,调节月经和下焦  
clears stagnant channel heat,清滞经热  
spreads and regulates Liver qi,疏肝理气  
clears damp-heat from lower jiao,清下焦湿热  
regulates lower jiao and blood,调节下焦和血  
drains damp,祛湿  
relaxes sinews,放松筋脉  
invigorates blood,活血  
nourishes blood and yin,滋养血阴  
regulates menstruation and the lower jiao,调节月经和下焦  
benefits the lower jiao,益下焦  
benefits the uterus,益子宫  
regulates the Conception and Penetrating vessels,调节任脉和冲脉  
eliminates cold from the Liver channel,祛肝经寒  
spreads Liver qi and regulates qi,疏肝理气  
harmonizes Liver and Spleen,调和肝脾  
strengthens the Spleen,强健脾脏  
regulates middle and lower jiao,调节中下焦  
disperses masses,散结  
harmonizes Liver and Stomach,调和肝胃  
regulates Du channel,调节督脉  
benefits anus,益肛门  
treats hemorrhoids,治疗痔疮  
benefits lumbar region and legs,益腰部和腿部  
dispels cold,祛寒  
tonifies kidneys,补肾  
fortifies yang,固阳  
regulates waterways,调节水道  
regulates lung qi,调节肺气  
benefits brain,益脑  
resolves dampness,化湿  
releases exterior,解表  
benefits tongue,益舌  
treats muteness,治疗喑病  
main point for wind in head and neck,头部和颈部风病的主要穴位  
treats wind cold headache,治疗风寒头痛  
stiff neck,颈部僵硬  
visual dizziness,视觉眩晕  
twitching,抽搐  
tremors,震颤  
regulates Du,调节督脉  
benefits head,益头部  
stroke-related deficits,中风相关缺陷  
and anxiety,及焦虑  
exerts neuroprotective effects by improving cerebral blood flow and reducing neuroinflammation.,通过改善脑血流和减少神经炎症发挥神经保护作用  
raises qi,升气  
benefits senses,益感官  
benefits nose,益鼻  
treats eye disorders,治疗眼部疾病  
treats rhinitis,治疗鼻炎  
benefits gums,益牙龈  
urination regulation,调节排尿  
genital disorders,生殖器疾病  
hemorrhoids,痔疮  
resuscitation.,复苏  
regulates urination,调节排尿  
treats enuresis,治疗遗尿  
impotence,阳痿  
and menstrual disorders.,及月经疾病  
benefits the bladder,益膀胱  
relieves dysmenorrhea and urinary retention.,缓解痛经和尿潴留  
tonifies kidney and essence,补肾精  
treats impotence,治疗阳痿  
infertility,不孕症  
and collapse.,及虚脱  
warms yang,温阳  
promotes urination,促进排尿  
treats leukorrhea.,治疗白带  
treats abdominal pain,治疗腹痛  
irregular menstruation.,月经不调  
regulates Chong and Ren,调节冲任  
stabilizes pregnancy,稳定妊娠  
treats infertility and dysmenorrhea.,治疗不孕症和痛经  
treats collapse and cold abdominal pain (moxibustion only).,治疗虚脱和寒性腹痛（仅限艾灸）  
reduces edema and abdominal distention.,减轻水肿和腹胀  
promotes digestion,促进消化  
relieves water retention and bloating.,缓解水潴留和腹胀  
alleviates abdominal fullness and pain.,缓解腹部胀满和疼痛  
tonifies spleen and stomach,补脾胃  
relieves nausea,缓解恶心  
treats epigastric pain and poor appetite.,治疗上腹痛和食欲不振  
descends rebellious qi,降逆气  
treats food stagnation and vomiting.,治疗食滞和呕吐  
alleviates chest pain,缓解胸痛  
treats palpitations and epilepsy.,治疗心悸和癫痫  
treats anxiety,治疗焦虑  
palpitations,心悸  
and hysteria.,及癔症  
alleviates chest pain and fullness.,缓解胸痛和胀满  
benefits lungs and heart.,益肺心  
relieves chest congestion,缓解胸闷  
benefits diaphragm,益膈肌  
alleviates cough and wheezing.,缓解咳嗽和喘息  
opens the chest,开通胸部  
stops cough and wheezing.,止咳平喘  
clears throat,清咽喉  
stops cough,止咳  
benefits voice and speech.,益声音和言语  
benefits tongue and speech,益舌和言语  
treats aphasia and salivation.,治疗失语和流涎  
relieves facial paralysis,缓解面瘫  
regulates saliva,调节唾液  
benefits mouth.,益口  
modulates immunity,调节免疫  
improves facial paralysis,改善面瘫
